epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,3477.45,0.51779,0.29513,0.84128,0.96622,0.99081,0.995,0.84554,0.7249,0.29344,0.96011,0.000311747,0.000311747,0.000311747
111,3508.95,0.50583,0.29245,0.83995,0.96286,0.98931,0.995,0.84475,0.70581,0.28273,0.95655,0.000304414,0.000304414,0.000304414
112,3540.11,0.5277,0.28852,0.83822,0.96658,0.99152,0.995,0.85127,0.72445,0.2874,0.96222,0.000297081,0.000297081,0.000297081
113,3572.22,0.50695,0.29189,0.84616,0.95744,0.98563,0.98358,0.83872,0.73195,0.28415,0.97294,0.000289749,0.000289749,0.000289749
114,3603.61,0.51612,0.28655,0.8384,0.96322,0.98366,0.98639,0.84364,0.72169,0.28318,0.97078,0.000282416,0.000282416,0.000282416
115,3635.14,0.51903,0.29102,0.83615,0.97652,0.98581,0.995,0.85468,0.69166,0.28005,0.95901,0.000275084,0.000275084,0.000275084
116,3666.92,0.51234,0.28759,0.84051,0.9825,0.96701,0.99405,0.85186,0.70183,0.28812,0.95049,0.000267751,0.000267751,0.000267751
117,3698.12,0.54617,0.29656,0.84252,0.97058,0.96542,0.98558,0.84233,0.70943,0.28868,0.94828,0.000260418,0.000260418,0.000260418
118,3729.37,0.51269,0.28701,0.8414,0.96785,0.96507,0.98509,0.86122,0.68285,0.28443,0.94608,0.000253086,0.000253086,0.000253086
119,3761.36,0.50424,0.28678,0.83772,0.97809,0.97476,0.99405,0.85444,0.69927,0.29894,0.9564,0.000245753,0.000245753,0.000245753
120,3792.77,0.50668,0.28027,0.84134,0.97185,0.98516,0.99364,0.85555,0.71274,0.29263,0.95489,0.000238421,0.000238421,0.000238421
121,3824.25,0.48787,0.27886,0.83544,0.96521,0.97076,0.98479,0.83781,0.68172,0.27913,0.94638,0.000231088,0.000231088,0.000231088
122,3855.5,0.51026,0.27974,0.83118,0.97156,0.97656,0.98683,0.84907,0.72124,0.28514,0.95464,0.000223755,0.000223755,0.000223755
123,3887,0.50915,0.28222,0.83816,0.98688,0.99011,0.995,0.84672,0.7221,0.28475,0.9519,0.000216423,0.000216423,0.000216423
124,3918.28,0.47898,0.27304,0.82947,0.9798,0.98985,0.995,0.85722,0.71125,0.28637,0.94656,0.00020909,0.00020909,0.00020909
125,3949.78,0.48302,0.27657,0.82954,0.97249,0.98949,0.995,0.83556,0.73069,0.2913,0.95545,0.000201758,0.000201758,0.000201758
126,3981,0.49053,0.27735,0.83315,0.98086,0.98321,0.995,0.84496,0.72123,0.28591,0.95279,0.000194425,0.000194425,0.000194425
127,4012.19,0.46983,0.27033,0.83163,0.98905,0.9832,0.995,0.84716,0.73801,0.29038,0.96166,0.000187092,0.000187092,0.000187092
128,4043.52,0.46087,0.267,0.83251,0.96921,0.97706,0.98604,0.85287,0.70385,0.27693,0.9566,0.00017976,0.00017976,0.00017976
129,4075.07,0.48666,0.27774,0.83593,0.97905,0.99427,0.995,0.85213,0.72525,0.28144,0.96667,0.000172427,0.000172427,0.000172427
130,4106.46,0.47936,0.27209,0.82929,0.98297,0.99817,0.995,0.85383,0.71153,0.28363,0.9641,0.000165095,0.000165095,0.000165095
131,4137.97,0.46126,0.26905,0.82957,0.98273,0.9987,0.995,0.86519,0.7027,0.28074,0.95635,0.000157762,0.000157762,0.000157762
132,4170.08,0.4728,0.2661,0.8282,0.98272,0.99155,0.995,0.85908,0.71741,0.28183,0.95483,0.000150429,0.000150429,0.000150429
133,4201.46,0.47564,0.26826,0.83008,0.98089,0.99694,0.995,0.856,0.72379,0.27813,0.96445,0.000143097,0.000143097,0.000143097
134,4232.58,0.46297,0.2624,0.82531,0.97216,0.98152,0.98585,0.84335,0.71896,0.27603,0.96566,0.000135764,0.000135764,0.000135764
135,4263.79,0.46905,0.26491,0.82517,0.98402,0.99275,0.995,0.84247,0.72952,0.27968,0.96523,0.000128432,0.000128432,0.000128432
136,4294.97,0.4467,0.26475,0.83095,0.982,0.99144,0.995,0.85779,0.72705,0.28464,0.9579,0.000121099,0.000121099,0.000121099
